Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2021-01-20,130.86180114746094,126.74542999267578,211.4499969482422,186.2947998046875,43.4541015625,88.95626831054688,173.63999938964844,282.0586242675781,265.3990173339844,115.5908203125,56.30970001220703,156.3732452392578,130.6654052734375,46.497764587402344,206.548095703125,161.76878356933594,74.64563751220703,221.5001678466797,141.0620574951172,34.312347412109375,126.46684265136719,66.44091796875,140.32473754882812,343.7288818359375,204.02999877929688,53.37497329711914,45.32608413696289,142.16363525390625,45.681243896484375
2021-01-21,135.6589813232422,125.2611312866211,207.41000366210938,186.1495361328125,43.23366928100586,85.81324768066406,171.27999877929688,280.990478515625,269.9949035644531,116.9859390258789,59.94723129272461,155.74729919433594,129.5699005126953,46.75566101074219,206.45144653320312,162.1964569091797,73.48693084716797,222.12222290039062,139.8865509033203,34.293548583984375,126.34242248535156,65.73637390136719,143.9049530029297,347.8045959472656,203.16836547851562,53.38429641723633,44.36470031738281,141.51882934570312,44.37158966064453
2021-01-22,137.8395538330078,123.99308013916016,205.83999633789062,185.90737915039062,42.907814025878906,85.55210876464844,172.77999877929688,281.0099182128906,274.7842712402344,105.39842224121094,54.38056564331055,157.49998474121094,128.57046508789062,46.31627655029297,206.30641174316406,160.64736938476562,73.3058853149414,223.08981323242188,137.65406799316406,34.359352111816406,125.36841583251953,65.224853515625,141.11819458007812,340.50555419921875,200.078369140625,53.57072830200195,44.722862243652344,142.9647979736328,43.74442672729492
2021-01-25,141.6554718017578,119.08802032470703,203.36000061035156,181.45196533203125,43.15699768066406,84.77800750732422,171.88999938964844,274.8438415527344,275.8292236328125,105.37177276611328,53.20964050292969,159.840087890625,126.96562194824219,46.5932731628418,206.26771545410156,161.93035888671875,73.45977783203125,226.6244659423828,135.87596130371094,35.045597076416016,127.52861785888672,63.970149993896484,141.62135314941406,340.76031494140625,199.04835510253906,54.456268310546875,45.071598052978516,142.83778381347656,43.255611419677734
2021-01-26,141.89334106445312,114.1731185913086,202.05999755859375,181.32608032226562,43.37742614746094,83.34172058105469,169.55999755859375,273.6008605957031,273.4297180175781,108.84623718261719,52.988895416259766,164.1736297607422,126.44670104980469,47.08041763305664,208.2401123046875,167.21432495117188,72.64505767822266,229.3890380859375,133.45578002929688,35.07380294799805,128.3483428955078,64.85807037353516,139.05714416503906,336.1555480957031,200.06845092773438,52.731788635253906,46.36286163330078,144.11766052246094,42.30564880371094
2021-01-27,140.8030548095703,112.14817810058594,194.02999877929688,174.95286560058594,43.799129486083984,82.25983428955078,163.02999877929688,265.41497802734375,265.1571960449219,108.82847595214844,51.43407440185547,161.66981506347656,122.87181091308594,46.35448455810547,200.13790893554688,177.38307189941406,69.76643371582031,229.9518280029297,129.42543029785156,34.06793975830078,123.80613708496094,63.21733093261719,134.9834442138672,326.24066162109375,193.09613037109375,51.38949203491211,48.238494873046875,140.53207397460938,41.8260498046875
2021-01-28,135.87704467773438,116.94512176513672,197.22999572753906,178.54624938964844,43.4541015625,83.02462005615234,171.8800048828125,267.0560302734375,269.0273742675781,106.70468139648438,53.81429672241211,162.90245056152344,125.03404235839844,46.946693420410156,199.96389770507812,174.31344604492188,70.53588104248047,235.90548706054688,133.0803985595703,34.07743453979492,125.71559143066406,65.79427337646484,135.46725463867188,331.2960510253906,196.3148651123047,51.61320877075195,47.7672233581543,140.44412231445312,42.48088836669922
2021-01-29,130.79244995117188,114.28125762939453,194.19000244140625,177.0933837890625,42.72571563720703,79.4618911743164,168.1699981689453,263.3175354003906,262.0320129394531,105.84272766113281,53.27682876586914,157.09552001953125,123.65021514892578,45.99152374267578,200.95005798339844,166.93869018554688,69.76643371582031,229.0237274169922,131.9641571044922,34.11545181274414,123.64219665527344,64.40447235107422,131.88706970214844,326.8187255859375,191.3926544189453,51.03527069091797,47.361942291259766,137.25909423828125,41.35568618774414
2021-02-01,132.95314025878906,115.03813934326172,195.83999633789062,178.914306640625,43.5116081237793,80.59040832519531,170.97000122070312,266.7744445800781,261.30633544921875,107.11345672607422,54.40935516357422,156.69107055664062,124.56314086914062,46.30672836303711,201.03707885742188,166.02635192871094,70.02894592285156,236.6163787841797,134.05836486816406,34.02042007446289,124.37510681152344,64.6264419555664,133.73521423339844,327.2301940917969,196.45352172851562,50.59716033935547,46.023555755615234,136.0671844482422,41.429466247558594
2021-02-02,133.79563903808594,118.64566802978516,200.94000244140625,186.44981384277344,43.92372131347656,81.19661712646484,176.9600067138672,278.6600036621094,263.3284912109375,106.13597106933594,55.66666030883789,155.28506469726562,128.39747619628906,46.76520538330078,202.806396484375,166.33050537109375,70.40010070800781,236.47813415527344,137.89112854003906,33.25068283081055,124.20152282714844,67.69561767578125,135.30276489257812,331.85455322265625,200.66268920898438,50.80223846435547,45.65596389770508,137.53265380859375,42.08429718017578
2021-02-03,132.75491333007812,118.3901138305664,207.38999938964844,185.4327850341797,43.86621856689453,82.96865844726562,176.42999267578125,280.1942443847656,265.2732849121094,105.85160827636719,55.35953140258789,154.5627899169922,129.8677978515625,46.5837287902832,201.79122924804688,166.76763916015625,69.99273681640625,239.92396545410156,136.9428253173828,33.1081428527832,124.35581970214844,68.12029266357422,134.17063903808594,331.0413513183594,199.42469787597656,51.07255935668945,46.08953094482422,137.95277404785156,43.73520278930664
2021-02-04,136.17437744140625,122.77420043945312,210.63999938964844,185.62648010253906,45.2846565246582,83.00596618652344,180.22999572753906,285.24365234375,269.7723693847656,107.53999328613281,56.767372131347656,155.99769592285156,132.85646057128906,46.81296157836914,204.0343017578125,168.30722045898438,68.8249740600586,238.94650268554688,138.91848754882812,33.15565490722656,124.43297576904297,70.14710998535156,139.26998901367188,322.64501953125,207.2388458251953,51.398807525634766,46.43825912475586,139.25218200683594,44.57449722290039
2021-02-05,135.7524871826172,124.13070678710938,207.92999267578125,186.93406677246094,46.080135345458984,83.24845123291016,181.16000366210938,285.00091552734375,269.8110656738281,108.22421264648438,56.17835998535156,158.36668395996094,132.5970001220703,47.424285888671875,205.53292846679688,170.1223907470703,68.61678314208984,239.13409423828125,143.34396362304688,33.18416213989258,124.95374298095703,69.80929565429688,140.1505584716797,317.9326171875,206.76348876953125,51.56660461425781,46.947227478027344,141.04010009765625,46.06861114501953
2021-02-08,135.9014129638672,125.81159973144531,211.9499969482422,191.24420166015625,46.90435791015625,85.3189468383789,190.0,291.4582824707031,270.9431457519531,109.84149169921875,57.12464141845703,158.81927490234375,134.6727294921875,47.68217468261719,204.56607055664062,171.78549194335938,67.92880249023438,239.40069580078125,141.66464233398438,33.089134216308594,124.56798553466797,69.96371459960938,141.46653747558594,317.7659912109375,204.90155029296875,51.314918518066406,47.06032943725586,141.69468688964844,48.05154037475586
2021-02-09,135.00804138183594,124.52389526367188,215.1199951171875,191.0795440673828,46.482662200927734,84.83396911621094,188.2100067138672,291.7593078613281,267.7889099121094,109.94955444335938,56.757713317871094,160.11935424804688,134.1345977783203,47.4720344543457,208.8202362060547,171.95655822753906,67.92880249023438,240.6842498779297,140.0643310546875,33.231685638427734,124.0858154296875,70.49456787109375,142.39544677734375,322.9488220214844,204.53512573242188,51.268310546875,47.12630844116211,142.47628784179688,47.488773345947266
2021-02-10,134.39259338378906,126.04751586914062,211.9199981689453,191.50572204589844,45.27507781982422,86.28889465332031,189.6300048828125,295.46875,269.6466369628906,110.07561492919922,56.834964752197266,160.63937377929688,134.21145629882812,47.37651443481445,207.2926025390625,172.08961486816406,67.79300689697266,239.7462615966797,140.72621154785156,33.01311111450195,123.65184020996094,69.94442749023438,141.20523071289062,326.6423645019531,204.45587158203125,51.23102569580078,48.643775939941406,140.81539916992188,47.94837188720703
2021-02-11,134.134521484375,126.12615966796875,210.66000366210938,192.1159210205078,45.60093307495117,85.82257080078125,190.91000366210938,293.5655212402344,268.06951904296875,108.87796783447266,58.57304000854492,159.9171142578125,133.83668518066406,48.04513931274414,207.1669158935547,169.799560546875,67.65723419189453,241.39511108398438,141.7930450439453,32.71852493286133,123.75791931152344,69.80929565429688,141.60198974609375,326.319091796875,208.959228515625,50.895450592041016,47.239410400390625,140.70791625976562,46.747779846191406
2021-02-12,134.37274169921875,127.41384887695312,210.97999572753906,191.76722717285156,45.322994232177734,86.31688690185547,187.6699981689453,297.44964599609375,268.50494384765625,108.77892303466797,59.6834716796875,160.41790771484375,135.7394256591797,48.41765594482422,206.80914306640625,171.22723388671875,67.89259338378906,241.88877868652344,140.3903350830078,32.994110107421875,123.07321166992188,70.07954406738281,141.23431396484375,321.5869140625,208.264892578125,50.52259063720703,47.48447036743164,141.14756774902344,47.38559341430664
2021-02-16,132.20880126953125,128.455810546875,217.17999267578125,196.019287109375,44.575435638427734,88.0855941772461,186.35000610351562,302.92633056640625,266.4537048339844,108.1215591430664,60.320762634277344,158.96376037597656,139.00677490234375,48.016483306884766,207.90171813964844,169.2438201904297,67.21366119384766,240.6151123046875,139.98533630371094,32.96559524536133,123.3625259399414,70.07954406738281,142.64703369140625,318.0403137207031,206.22149658203125,50.47597885131836,46.31573486328125,142.3102264404297,48.8112907409668
2021-02-17,129.87612915039062,126.37189483642578,215.52000427246094,195.94175720214844,44.32624816894531,90.72447204589844,186.44000244140625,303.6837463378906,271.80426025390625,108.0315170288086,59.72208786010742,159.53192138671875,139.43923950195312,47.88275909423828,206.3740997314453,169.26296997070312,68.38142395019531,241.66409301757812,142.23757934570312,33.15565490722656,123.88329315185547,70.51386260986328,143.6436767578125,320.2348937988281,205.8346405029297,53.123291015625,46.71159362792969,143.8147735595703,49.57102966308594
2021-02-18,128.75445556640625,126.3031005859375,208.47999572753906,193.63656616210938,44.41250991821289,89.85430145263672,183.0,300.92596435546875,273.8651428222656,108.71588134765625,59.4903564453125,159.60897827148438,139.91009521484375,48.49406814575195,208.28843688964844,171.86923217773438,68.26373291015625,241.2583465576172,143.3241729736328,32.84206008911133,124.91516876220703,70.34014129638672,142.90826416015625,321.7535095214844,207.65980529785156,53.11397171020508,46.547935485839844,134.4941864013672,48.79253005981445
2021-02-19,128.9132537841797,129.4683074951172,217.47000122070312,203.31260681152344,43.779964447021484,90.61096954345703,183.64999389648438,306.4803161621094,270.5658264160156,107.14903259277344,60.84218215942383,156.9510498046875,142.2453155517578,47.86365509033203,205.20420837402344,169.1575927734375,67.26797485351562,238.4676513671875,140.29156494140625,32.72801971435547,122.59102630615234,71.67205810546875,141.1859130859375,318.0010986328125,203.0771026611328,52.61993408203125,46.490848541259766,135.15853881835938,49.120811462402344
2021-02-22,125.07177734375,133.63613891601562,212.8800048828125,211.20643615722656,43.54035949707031,93.06068420410156,191.75999450683594,307.6941223144531,266.8987731933594,108.83294677734375,58.62131118774414,156.85415649414062,143.5811004638672,48.360347747802734,205.03016662597656,168.75514221191406,67.82921600341797,232.07472229003906,135.0066680908203,32.55696487426758,122.07026672363281,70.45594787597656,143.0824432373047,320.9991455078125,206.63812255859375,52.61993408203125,46.490848541259766,134.5235137939453,50.931068420410156
